strategy,rank,preflight_total_us,local_validation_us,signature_build_us,collective_submit_us,collective_wait_us,result_check_us,collective_count,payload_bytes
routersense_b_core_independent_async,,0,0,0,0,0,0,0,0
routersense_b_core_independent_async,0,31355.500999999997,4749.54,4823.969,1769.829,0,20010.836000000003,12,6192
routersense_b_core_independent_async,,0,0,0,0,0,0,0,0
routersense_b_core_independent_async,1,82493.19199999995,5107.605999999999,4147.906,1531.021,0,71705.61,12,6192
routersense_b_core_independent_async,,0,0,0,0,0,0,0,0
routersense_b_core_independent_async,2,73216.97600000001,3672.1960000000004,4342.604,1697.107,0,63503.80799999999,12,6192
routersense_b_core_independent_async,,0,0,0,0,0,0,0,0
routersense_b_core_independent_async,3,74538.4,5414.446,4265.629,1524.337,0,63332.806000000026,12,6192
routersense_u_core_zero_raw_async,,0,0,0,0,0,0,0,0
routersense_u_core_zero_raw_async,0,35015.37299999999,4562.277999999999,4315.599,1671.657,0,24464.642999999993,12,6192
routersense_u_core_zero_raw_async,,0,0,0,0,0,0,0,0
routersense_u_core_zero_raw_async,1,30370.125,5322.091999999999,4356.912,1537.566,0,19152.411,12,6192
routersense_u_core_zero_raw_async,,0,0,0,0,0,0,0,0
routersense_u_core_zero_raw_async,2,93062.119,2636.2350000000006,3498.1479999999992,1281.452,0,85645.425,12,6192
routersense_u_core_zero_raw_async,,0,0,0,0,0,0,0,0
routersense_u_core_zero_raw_async,3,31809.792999999994,4833.621999999999,4202.532,1545.0120000000002,0,21227.477000000006,12,6192
