strategy,rank,measure_index,local_forward_us,global_max_forward_us,first_transport_submit_ns,last_transport_complete_ns,dispatch_transport_us,return_transport_us
routersense_b_core_independent_async,0,0,233443.93920898438,233878.5858154297,38518116860817796,38518116952017738,5290.943,2797.837
routersense_b_core_independent_async,0,1,223322.69287109375,223674.30114746094,38518117081256626,38518117168478492,5194.7119999999995,2699.52
routersense_b_core_independent_async,0,2,221054.13818359375,221362.0147705078,38518117301238029,38518117387938017,5166.942,2826.1220000000003
routersense_b_core_independent_async,1,0,233671.29516601562,233878.5858154297,38518116860745489,38518116951297852,5211.114,2642.1310000000003
routersense_b_core_independent_async,1,1,223123.779296875,223674.30114746094,38518117081168170,38518117167940138,5129.459,2635.551
routersense_b_core_independent_async,1,2,221362.0147705078,221362.0147705078,38518117301083075,38518117386997890,5076.772,2587.962
routersense_b_core_independent_async,2,0,233878.5858154297,233878.5858154297,38518116860933808,38518116951772886,5157.952,2808.8140000000003
routersense_b_core_independent_async,2,1,222974.21264648438,223674.30114746094,38518117081278556,38518117168083886,5158.78,2696.665
routersense_b_core_independent_async,2,2,220742.08068847656,221362.0147705078,38518117301315295,38518117388702084,5161.956,2952.822
routersense_b_core_independent_async,3,0,233755.87463378906,233878.5858154297,38518116860929899,38518116951487772,5369.782999999999,2673.293
routersense_b_core_independent_async,3,1,223674.30114746094,223674.30114746094,38518117081222177,38518117167768326,5158.452,2677.8469999999998
routersense_b_core_independent_async,3,2,221077.63671875,221362.0147705078,38518117301168890,38518117387213716,5107.133,2669.4440000000004
routersense_u_core_zero_raw_async,0,0,230660.18676757812,232394.79064941406,38518151501144124,38518151583700785,4730.188,2254.2619999999997
routersense_u_core_zero_raw_async,0,1,211750.39672851562,211923.03466796875,38518151711624945,38518151797099787,3851.4800000000005,1963.7939999999999
routersense_u_core_zero_raw_async,0,2,207162.33825683594,207552.38342285156,38518151925214491,38518152006898958,3774.812,1836.388
routersense_u_core_zero_raw_async,1,0,231684.35668945312,232394.79064941406,38518151500902068,38518151589941389,5209.754000000001,2614.986
routersense_u_core_zero_raw_async,1,1,211923.03466796875,211923.03466796875,38518151711964700,38518151803078556,5485.701,2588.035
routersense_u_core_zero_raw_async,1,2,207532.92846679688,207552.38342285156,38518151925346088,38518152013260886,5095.245,2574.297
routersense_u_core_zero_raw_async,2,0,232394.79064941406,232394.79064941406,38518151500853921,38518151589720888,5158.642,2698.593
routersense_u_core_zero_raw_async,2,1,211666.04614257812,211923.03466796875,38518151711882195,38518151803764813,5154.317,2723.241
routersense_u_core_zero_raw_async,2,2,207437.92724609375,207552.38342285156,38518151925520981,38518152013367658,5192.808,2627.754
routersense_u_core_zero_raw_async,3,0,232122.61962890625,232394.79064941406,38518151500756726,38518151583835636,3790.5550000000003,1954.0259999999998
routersense_u_core_zero_raw_async,3,1,211424.9267578125,211923.03466796875,38518151711623448,38518151797422971,3915.63,2007.857
routersense_u_core_zero_raw_async,3,2,207552.38342285156,207552.38342285156,38518151925247452,38518152007194277,3852.6,1931.006
