strategy,rank,forward_epoch,layer,phase,payload_role,op_build_us,batch_submit_us,wait_us,submit_queue_us,submit_span_us,request_wait_us,active_transport_sum_us,active_transport_critical_path_us,first_request_submitted_ns,last_request_submitted_ns,all_requests_completed_ns,send_op_count,recv_op_count,batch_isend_irecv_call_count,release_batch_count,preflight_collective_count,task_count,send_task_count,recv_task_count,wave_count,rows,wire_bytes,min_task_rows,median_task_rows,max_task_rows,min_task_bytes,median_task_bytes,max_task_bytes,zero_byte_task_count,single_row_task_count,small_task_count
routersense_b_core_independent_async,0,1,0,P0,hidden_states,220.26899999999998,361.3880000000001,40.897999999999996,0.0,1033.615,5.453,402.28600000000006,1039.068,38525763472817107,38525763473850722,38525763473856175,3,3,6,12,9,18,6,6,3,4404,18038784,59,154.0,487,241664,630784.0,1994752,0,0,0
routersense_b_core_independent_async,0,1,0,P0,routing_probs,193.399,275.13199999999995,32.22,0.0,883.165,5.057,307.352,888.222,38525763474726714,38525763475609879,38525763475614936,3,3,6,12,0,18,6,6,3,4404,17616,59,154.0,487,236,616.0,1948,0,0,18
routersense_b_core_independent_async,0,1,0,P1,hidden_states,216.36899999999997,363.16600000000005,38.266000000000005,0.0,1035.745,5.46,401.4320000000001,1041.205,38525763492408890,38525763493444635,38525763493450095,3,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
routersense_b_core_independent_async,0,1,1,P0,hidden_states,215.83800000000002,323.86099999999993,36.483,0.0,940.693,5.384,360.34399999999994,946.077,38525763540659456,38525763541600149,38525763541605533,3,3,6,12,9,18,6,6,3,4584,18776064,148,244.0,331,606208,999424.0,1355776,0,0,0
routersense_b_core_independent_async,0,1,1,P0,routing_probs,193.47899999999998,272.866,33.589,0.0,836.681,5.128,306.455,841.809,38525763542541044,38525763543377725,38525763543382853,3,3,6,12,0,18,6,6,3,4584,18336,148,244.0,331,592,976.0,1324,0,0,18
routersense_b_core_independent_async,0,1,1,P1,hidden_states,214.24900000000005,358.605,36.702,0.0,1031.533,5.123,395.307,1036.656,38525763560309747,38525763561341280,38525763561346403,3,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
routersense_b_core_independent_async,1,1,0,P0,hidden_states,234.982,371.708,41.726000000000006,0.0,1049.71,5.584,413.434,1055.294,38525763473079735,38525763474129445,38525763474135029,3,3,6,12,9,18,6,6,3,5070,20766720,59,324.0,487,241664,1327104.0,1994752,0,0,0
routersense_b_core_independent_async,1,1,0,P0,routing_probs,211.835,304.46900000000005,37.86800000000001,0.0,924.099,5.618,342.33700000000005,929.717,38525763475287496,38525763476211595,38525763476217213,3,3,6,12,0,18,6,6,3,5070,20280,59,324.0,487,236,1296.0,1948,0,0,18
routersense_b_core_independent_async,1,1,0,P1,hidden_states,229.99099999999999,387.0590000000001,42.312,0.0,1029.3,5.583,429.3710000000001,1034.883,38525763494250828,38525763495280128,38525763495285711,3,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
routersense_b_core_independent_async,1,1,1,P0,hidden_states,218.318,342.91100000000006,39.577,0.0,1019.814,5.389,382.48800000000006,1025.203,38525763540734464,38525763541754278,38525763541759667,3,3,6,12,9,18,6,6,3,4758,19488768,148,301.0,331,606208,1232896.0,1355776,0,0,0
routersense_b_core_independent_async,1,1,1,P0,routing_probs,192.61799999999997,285.98699999999997,33.712,0.0,905.376,5.288,319.69899999999996,910.664,38525763542689570,38525763543594946,38525763543600234,3,3,6,12,0,18,6,6,3,4758,19032,148,301.0,331,592,1204.0,1324,0,0,18
routersense_b_core_independent_async,1,1,1,P1,hidden_states,220.20699999999997,373.7339999999999,39.821999999999996,0.0,987.886,5.282,413.5559999999999,993.168,38525763560476560,38525763561464446,38525763561469728,3,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
routersense_b_core_independent_async,2,1,0,P0,hidden_states,220.89000000000001,378.78799999999995,40.183,129.493,898.394,5.456,418.97099999999995,903.85,38525763472927557,38525763473825951,38525763473831407,3,3,6,12,9,18,6,6,3,4214,17260544,59,154.0,487,241664,630784.0,1994752,0,0,0
routersense_b_core_independent_async,2,1,0,P0,routing_probs,194.969,285.45300000000003,35.082,103.735,750.294,5.349,320.535,755.643,38525763474805815,38525763475556109,38525763475561458,3,3,6,12,0,18,6,6,3,4214,16856,59,154.0,487,236,616.0,1948,0,0,18
routersense_b_core_independent_async,2,1,0,P1,hidden_states,225.15299999999996,394.596,40.373000000000005,127.51,908.557,5.918,434.969,914.475,38525763493360437,38525763494268994,38525763494274912,3,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
routersense_b_core_independent_async,2,1,1,P0,hidden_states,228.06200000000004,352.812,39.711,129.279,885.501,5.661,392.523,891.162,38525763540833909,38525763541719410,38525763541725071,3,3,6,12,9,18,6,6,3,4392,17989632,148,244.0,331,606208,999424.0,1355776,0,0,0
routersense_b_core_independent_async,2,1,1,P0,routing_probs,196.172,271.23199999999997,32.79899999999999,107.23,736.84,5.436,304.03099999999995,742.276,38525763542723675,38525763543460515,38525763543465951,3,3,6,12,0,18,6,6,3,4392,17568,148,244.0,331,592,976.0,1324,0,0,18
routersense_b_core_independent_async,2,1,1,P1,hidden_states,223.026,366.259,40.019999999999996,126.492,885.736,5.431,406.279,891.167,38525763560489887,38525763561375623,38525763561381054,3,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
routersense_b_core_independent_async,3,1,0,P0,hidden_states,221.588,381.948,42.572,86.182,1018.942,6.217,424.52,1025.159,38525763472936288,38525763473955230,38525763473961447,3,3,6,12,9,18,6,6,3,4744,19431424,59,324.0,487,241664,1327104.0,1994752,0,0,0
routersense_b_core_independent_async,3,1,0,P0,routing_probs,198.96399999999997,303.971,38.120999999999995,64.091,891.463,5.897,342.092,897.36,38525763474999205,38525763475890668,38525763475896565,3,3,6,12,0,18,6,6,3,4744,18976,59,324.0,487,236,1296.0,1948,0,0,18
routersense_b_core_independent_async,3,1,0,P1,hidden_states,222.43200000000002,395.23,41.635999999999996,131.663,963.999,6.09,436.866,970.089,38525763493398501,38525763494362500,38525763494368590,3,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
